question,r1,r2,r3,r4,r5,r6,r7
"I engaged in regular, daily practice of a musical instrument (including voice) for ___ years.",0,1,2,3,4 to 5,6 to 9,10 or more
"At the peak of my interest, I practiced ___ hours per day on my primary instrument.",0,0.5,1,1.5,2,3 to 4,5 or more
I have attended ___ live music events as an audience member in the past twelve months.,0,1,2,3,4 to 6,7 to 10,11 or more
I have had formal training in music theory for ___ years.,0,0.5,1,2,3,4 to 6,7 or more
I have had ___ years of formal training on a musical instrument (including voice) during my lifetime.,0,0.5,1,2,3 to 5,6 to 9,10 or more
I can play ___ musical instruments.,0,1,2,3,4,5,6 or more
I listen attentively to music for ___ per day.,0-15 min,15-30 min,30-60 min,60-90 min,2-3 hrs,2.5 hrs,4 hrs or more
What is your occupational status?,Student,Full- time employment,Part-time employment,Self-employed,Homemaker/ full-time parent,Unemployed,Retired
What is the highest educational qualification you have attained?,Completed no school qualification,Completed highschool,Undergraduate degree,Graduate degree,Postgraduate degree,Professional qualification,I am still in education
"If you are still in education, what is the highest qualification you expect to obtain?",Highschool,Undergraduate degree,Graduate degree,Postgraduate degree,Professional qualification,Other,Not applicable
